Abortion Issues,"Women's Issues, Abortion Policy/Pro-Choice, Abortion Policy/Pro-Life",Health
Agriculture Issues,,Agribusiness
Animal Rights and Wildlife Issues,"Misc Issues, Environment",
Arts and Humanities,Education,
"Budget, Spending and Taxes",,
Business and Consumers,Misc Issues,Misc Business
Campaign Finance and Election Issues,Misc Issues,
Civil Liberties and Civil Rights,Misc Issues,
Congressional and Legislative Affairs,Misc Issues,
Conservative,"Republican/Conservative, Republican Leadership PACs, Republican Candidate Committees",
Crime Issues,Civil Servants/Public Officials,
Death Penalty,"Lawyers/Law Firms, Misc Issues, Human Rights",
Defense,Foreign and Defense Policy,Defense
Drug Issues,Misc Issues,
Education,Education,
Employment and Affirmative Action,Misc Issues,
Energy Issues,,Energy/Natural Resources
Environmental Issues,"Environment, Alternative Energy Production & Services",
Executive Branch,Misc Issues,
Family and Children Issues,Misc Issues,
"Federal, State, and Local Relations",Misc Issues,
Foreign Aid and Policy Issues,"Foreign & Defense Policy, Pro-Israel",
Gambling and Gaming,"Casinos/Gambling, Indian Gaming",
Government Reform,Misc Issues,
Gun Issues,"Gun Control, Gun Rights",
Health Issues,,Health
Housing and Property Issues,"Real Estate, Mortgage Banking",Construction
Immigration,Foreign & Defense Policy,
Indigenous Peoples,,
Labor,,"Labor, MIsc. Business"
Legal Issues,Lawyers/Law Firms,
Liberal,"Democratic/Liberal, Democratic Leadership PACs, Democratic Candidate Committees",
Military Issues,Foreign & Defense Policy,
National Security Issues,Misc Defense,
Reproductive Issues,"Abortion Policy/Pro-Life, Abortion Policy/Pro-Choice, Women's Issues",
Science and Medical Research,Pharmaceuticals / Health Products,
Senior and Social Security Issues,Retired,
Sexual Orientation and Gender Identity,Gay/Lesbian Rights,
Social Issues,,
Stem Cell Research,Pharmaceuticals / Health Products,
Technology and Communication,,Communications/Electronics 
Trade Issues,,"Misc Business, Labor"
Transportation Issues,,Transportation
Veterans Issues,,
Welfare and Poverty,,
Women's Issues,Women's Issues,
