num	type	reportname	dbname	person	committee	bill
1	PROVIDING  FOR  CONSIDERATION  OF  H.R.  54,  CONGRESSIONAL  GOLD  MEDAL  ENHANCEMENT  ACT  OF  2005	house	hr001	109	SESSIONS	Committee on Rules	H. Res. 42
2	PROVIDING  FOR  CONSIDERATION  OF  HOUSE  CONCURRENT  RESOLUTION  36,  EXPRESSING  THE  CONTINUED  SUPPORT  OF  CONGRESS  FOR  EQUAL  ACCESS  OF  MILITARY  RECRUITERS  TO  INSTITUTIONS  OF  HIGHER  EDUCATION	house	hr002	109	COLE of Oklahoma	Committee on Rules	H. Res. 59
3	PROVIDING  FOR  CONSIDERATION  OF  H.R.  418,  REAL  ID  ACT  OF  2005	house	hr003	109	SESSIONS	Committee on Rules	H. Res. 71
4	PROVIDING  FOR  FURTHER  CONSIDERATION  OF  H.R.  418,  REAL  ID  ACT  OF  2005	house	hr004	109	SESSIONS	Committee on Rules	H. Res. 75
5	BROADCAST  DECENCY  ENFORCEMENT  ACT  OF  2005	house	hr005	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 310
6	PROVIDING  FOR  CONSIDERATION  OF  H.R.  310,  BROADCAST  DECENCY  ENFORCEMENT  ACT  OF  2005	house	hr006	109	CAPITO	Committee on Rules	H. Res. 95
7	PROVIDING  FOR  CONSIDERATION  OF  S.  5,  CLASS  ACTION  FAIRNESS  ACT  OF  2005	house	hr007	109	GINGREY	Committee on Rules	H. Res. 96
8	CONTINUITY  IN  REPRESENTATION  ACT  OF  2005	house	hr008p1	109	NEY	Committee on House Administration	H.R. 841
9	JOB  TRAINING  IMPROVEMENT  ACT  OF  2005	house	hr009	109	BOEHNER	Committee on Education and the Workforce	H.R. 27
10	JOB  TRAINING  IMPROVEMENT  ACT  OF  2005	house	hr009p2	109	BOEHNER	Committee on Education and the Workforce	H.R. 27
11	PROVIDING  FOR  CONSIDERATION  OF  H.R.  841,  CONTINUITY  IN  REPRESENTATION  ACT  OF  2005	house	hr010	109	COLE of Oklahoma	Committee on Rules	H. Res. 125
12	PROVIDING  FOR  CONSIDERATION  OF  H.R.  27,  JOB  TRAINING  IMPROVEMENT  ACT  OF  2005	house	hr011	109	BISHOP of Utah	Committee on Rules	H. Res. 126
13	TRANSPORTATION  EQUITY  ACT:  A  LEGACY  FOR  USERS	house	hr012	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H.R. 3
14	TRANSPORTATION  EQUITY  ACT:  A  LEGACY  FOR  USERS	house	hr012p2	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H.R. 3
15	HIGHWAY  REAUTHORIZATION  TAX  ACT  OF  2005	house	hr013	109	THOMAS	Committee on Ways and Means	H.R. 996
16	PROVIDING  FOR  CONSIDERATION  OF  H.R.  3,  TRANSPORTATION  EQUITY  ACT:  A  LEGACY  FOR  USERS	house	hr014	109	CAPITO	Committee on Rules	H. Res. 140
17	PROVIDING  FOR  FURTHER  CONSIDERATION  OF  H.R.  3,  TRANSPORTATION  EQUITY  ACT:  A  LEGACY  FOR  USERS	house	hr015	109	CAPITO	Committee on Rules	H. Res. 144
18	MAKING  EMERGENCY  SUPPLEMENTAL  APPROPRIATIONS  FOR  THE  FISCAL  YEAR  ENDING  SEPTEMBER  30,  2005,  AND  FOR  OTHER  PURPOSES	house	hr016	109	LEWIS of California	Committee on Appropriations	H.R. 1268
19	CONCURRENT  RESOLUTION  ON  THE  BUDGET--FISCAL  YEAR  2006	house	hr017	109	NUSSLE	Committee on Budget	H. Con. Res. 95
20	PROVIDING  FOR  CONSIDERATION  OF  H.R.  1268,  MAKING  EMERGENCY  SUPPLEMENTAL  APPROPRIATIONS  FOR  THE  FISCAL  YEAR  ENDING  SEPTEMBER  30,  2005,  AND  FOR  OTHER  PURPOSES	house	hr018	109	COLE of Oklahoma	Committee on Rules	H. Res. 151
21	PROVIDING  FOR  CONSIDERATION  OF  H.  CON.  RES.  95,  THE  CONCURRENT  RESOLUTION  ON  THE  BUDGET  FOR  FISCAL  YEAR  2006	house	hr019	109	PUTNAM	Committee on Rules	H. Res. 154
22	PROVIDING  FOR  CONSIDERATION  OF  H.R.  1334,  PROTECTION  OF  INCAPACITATED  PERSONS  ACT  OF  2005	house	hr020	109	GINGREY	Committee on Rules	H. Res. 162
23	WAIVING  A  REQUIREMENT  OF  CLAUSE  6(A)  OF  RULE  XIII  WITH  RESPECT  TO  THE  SAME  DAY  CONSIDERATION  OF  CERTAIN  RESOLUTIONS  REPORTED  BY  THE  RULES  COMMITTEE	house	hr021	109	GINGREY	Committee on Rules	H. Res. 163
24	ISSUANCE  OF  THE  500,000TH  DESIGN  PATENT  BY  THE  UNITED  STATES  PATENT  AND  TRADEMARK  OFFICE	house	hr022	109	SENSENBRENNER	Committee on the Judiciary	H. Con. Res. 53
25	TRADEMARK  DILUTION  REVISION  ACT  OF  2005	house	hr023	109	SENSENBRENNER	Committee on the Judiciary	H.R. 683
26	MULTIDISTRICT  LITIGATION  RESTORATION  ACT  OF  2005	house	hr024	109	SENSENBRENNER	Committee on the Judiciary	H.R. 1038
27	VOCATIONAL  AND  TECHNICAL  EDUCATION  FOR  THE  FUTURE  ACT	house	hr025	109	BOEHNER	Committee on Education and the Workforce	H.R. 366
28	PROGRAM  ASSESSMENT  AND  RESULTS  ACT	house	hr026	109	TOM DAVIS of Virginia	Committee on Government Reform	H.R. 185
29	WAIVING  A  REQUIREMENT  OF  CLAUSE  6(A)  OF  RULE  XIII  WITH  RESPECT  TO  THE  SAME  DAY  CONSIDERATION  OF  CERTAIN  RESOLUTIONS  REPORTED  BY  THE  RULES  COMMITTEE	house	hr027	109	GINGREY	Committee on Rules	H. Res. 181
30	PROVIDING  FOR  CONSIDERATION  OF  S.  686,  FOR  THE  RELIEF  OF  THE  PARENTS  OF  THERESA  MARIE  SCHIAVO	house	hr028	109	GINGREY	Committee on Rules	H. Res. 182
31	OVERSIGHT  PLANS  FOR  ALL  HOUSE  COMMITTEES  WITH  ACCOMPANYING  RECOMMENDATIONS	house	hr029	109	TOM DAVIS	Committee on Government Reform submitted the following	
32	DIRECTING  THE  ATTORNEY  GENERAL  AND  THE  SECRETARY  OF  HOMELAND  SECURITY  TO  TRANSMIT  TO  THE  HOUSE  OF  REPRESENTATIVES  NOT  LATER  THAN  14  DAYS  AFTER  THE  DATE  OF  THE  ADOPTION  OF  THIS  RESOLUTION  DOCUMENTS  IN  THE  POSSESSION  OF  THOSE  OFFICIALS  RELATING  TO  THE  SECURITY  INVESTIGATIONS  AND  BACKGROUND  CHECKS  RELATING  TO  GRANTING  ACCESS  TO  THE  WHITE  HOUSE  OF  JAMES  D.  GUCKERT  (ALSO  KNOWN  AS  JEFF  GANNON)	house	hr030	109	SENSENBRENNER	Committee on the Judiciary	H. Res. 136
33	BANKRUPTCY  ABUSE  PREVENTION  AND  CONSUMER  PROTECTION  ACT  OF  2005	house	hr031p1	109	SENSENBRENNER	Committee on the Judiciary	S. 256
34	SECURELY  PROTECT  YOURSELF  AGAINST  CYBER  TRESPASS  ACT  OR  SPY  ACT	house	hr032	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 29
35	FAMILY  ENTERTAINMENT  AND  COPYRIGHT  ACT  OF  2005	house	hr033p1	109	SENSENBRENNER	Committee on the Judiciary	S. 167
36	REQUESTING  THE  PRESIDENT  TO  TRANSMIT  TO  THE  HOUSE  OF  REPRESENTATIVES  CERTAIN  INFORMATION  RELATING  TO  PLAN  ASSETS  AND  LIABILITIES  OF  SINGLE-EMPLOYER  PENSION  PLANS	house	hr034	109	BOEHNER	Committee on Education and the Workforce	H. Res. 134
37	PROVIDING  FOR  CONSIDERATION  OF  H.R.  8,  DEATH  TAX  REPEAL  PERMANENCY  ACT  OF  2005	house	hr035	109	HASTINGS of Washington	Committee on Rules	H. Res. 202
38	HIGH-PERFORMANCE  COMPUTING  REVITALIZATION  ACT  OF  2005	house	hr036	109	BOEHLERT	Committee on Science	H.R. 28
39	CHARLES  `PETE'  CONRAD  ASTRONOMY  AWARDS  ACT	house	hr037	109	BOEHLERT	Committee on Science	H.R. 1023
40	EXPANDED  ACCESS  TO  FINANCIAL  SERVICES  ACT  OF  2005	house	hr038	109	OXLEY	Committee on Financial Services	H.R. 749
41	PRESIDENTIAL  $1  COIN  ACT  OF  2005	house	hr039	109	OXLEY	Committee on Financial Services	H.R. 902
42	MILITARY  PERSONNEL  FINANCIAL  SERVICES  PROTECTION  ACT	house	hr040	109	OXLEY	Committee on Financial Services	H.R. 458
43	SMALL  BUSINESS  HEALTH  FAIRNESS  ACT  OF  2005	house	hr041	109	BOEHNER	Committee on Education and the Workforce	H.R. 525
44	METHAMPHETAMINE  REMEDIATION  RESEARCH  ACT  OF  2005	house	hr042	109	BOEHLERT	Committee on Science	H.R. 798
45	PROVIDING  FOR  CONSIDERATION  OF  S.  256,  BANKRUPTCY  ABUSE  PREVENTION  AND  CONSUMER  PROTECTION  ACT  OF  2005	house	hr043	109	GINGREY	Committee on Rules	H. Res. 211
46	TREATMENT  OF  CERTAIN  PAYMENTS  UNDER  NATIONAL  FLOOD  INSURANCE  PROGRAM	house	hr044	109	OXLEY	Committee on Financial Services	H.R. 804
47	ENHANCED  ENERGY  INFRASTRUCTURE  AND  TECHNOLOGY  TAX  POLICY  ACT  OF  2005	house	hr045	109	THOMAS	Committee on Ways and Means	H.R. 1541
48	OCCUPATIONAL  SAFETY  AND  HEALTH  SMALL  BUSINESS  DAY  IN  COURT  ACT  OF  2005	house	hr046	109	BOEHNER	Committee on Education and the Workforce	H.R. 739
49	OCCUPATIONAL  SAFETY  AND  HEALTH  REVIEW  COMMISSION  EFFICIENCY  ACT  OF  2005	house	hr047	109	BOEHNER	Committee on Education and the Workforce	H.R. 740
50	TECHNICAL  CORRECTIONS  TO  THE  UNITED  STATES  CODE	house	hr048	109	SENSENBRENNER	Committee on the Judiciary	H.R. 866
51	PROVIDING  FOR  CONSIDERATION  OF  H.R.  6,  ENERGY  POLICY  ACT  OF  2005	house	hr049	109	SESSIONS	Committee on Rules	H. Res. 219
52	OCCUPATIONAL  SAFETY  AND  HEALTH  INDEPENDENT  REVIEW  OF  OSHA  CITATIONS  ACT  OF  2005	house	hr050	109	BOEHNER	Committee on Education and the Workforce	H.R. 741
53	CHILD  INTERSTATE  ABORTION  NOTIFICATION  ACT	house	hr051	109	SENSENBRENNER	Committee on the Judiciary	H.R. 748
54	CHILD  INTERSTATE  ABORTION  NOTIFICATION  ACT	house	hr051p2	109	SENSENBRENNER	Committee on the Judiciary	H.R. 748
55	EXPRESSING  THE  SENSE  OF  THE  HOUSE  OF  REPRESENTATIVES  THAT  AMERICAN  SMALL  BUSINESSES  ARE  ENTITLED  TO  A  SMALL  BUSINESS  BILL  OF  RIGHTS	house	hr052	109	MANZULLO	Committee on Small Business	H. Res. 22
56	SUPPORTING  THE  GOALS  OF  WORLD  INTELLECTUAL  PROPERTY  DAY,  AND  RECOGNIZING  THE  IMPORTANCE  OF  INTELLECTUAL  PROPERTY  IN  THE  UNITED  STATES  AND  WORLDWIDE	house	hr053	109	SENSENBRENNER	Committee on the Judiciary	H. Res. 210
57	PROVIDING  FOR  THE  EXPENSES  OF  CERTAIN  COMMITTEES  OF  THE  HOUSE  OF  REPRESENTATIVES  IN  THE  ONE  HUNDRED  NINTH  CONGRESS	house	hr054	109	NEY	Committee on House Administration	H. Res. 224
58	PROVIDING  FOR  CONSIDERATION  OF  H.  RES.  22,  EXPRESSING  THE  SENSE  OF  THE  HOUSE  OF  REPRESENTATIVES  THAT  AMERICAN  SMALL  BUSINESSES  ARE  ENTITLED  TO  A  SMALL  BUSINESS  BILL  OF  RIGHTS	house	hr055	109	CAPITO	Committee on Rules	H. Res. 235
59	PROVIDING  FOR  CONSIDERATION  OF  H.R.  748,  CHILD  INTERSTATE  ABORTION  NOTIFICATION  ACT	house	hr056	109	GINGREY	Committee on Rules	H. Res. 236
60	DISMISSING  THE  ELECTION  CONTEST  IN  THE  SIXTH  CONGRESSIONAL~  DISTRICT  OF  TENNESSEE	house	hr057	109	NEY	Committee on House Administration	H. Res. 239
61	RESOLUTION  OF  INQUIRY  REQUESTING  THE  PRESIDENT  TO  TRANSMIT  CERTAIN  INFORMATION  TO  THE  HOUSE  OF  REPRESENTATIVES  RESPECTING  A  CLAIM  MADE  BY  THE  PRESIDENT  ON  FEBRUARY  16,  2005,  AT  A  MEETING  PORTSMOUTH,  NEW  HAMPSHIRE,  THAT  THERE  IS  NOT  A  SOCIAL  SECURITY  TRUST	house	hr058	109	THOMAS	Committee on Ways and Means	H. Res. 170
62	PROVIDING  FOR  THE  ADOPTION  OF  THE  RESOLUTION  (H.  RES.  240)  AMENDING  THE  RULES  OF  THE  HOUSE  OF  REPRESENTATIVES  TO  REINSTATE  CERTAIN  PROVISIONS  OF  THE  RULES  RELATING  TO  PROCEDURES  OF  THE  COMMITTEE  ON  STANDARDS  OF  OFFICIAL  CONDUCT  TO  THE  FORM  IN  WHICH  THOSE  PROVISIONS  EXISTED  AT  THE  CLOSE  OF  THE  108TH  CONGRESS	house	hr059	109	DRIER	Committee on Rules	H. Res. 241
63	WAIVING  A  REQUIREMENT  OF  CLAUSE  6(A)  OF  RULE  XIII  WITH  RESPECT  TO  THE  SAME  DAY  CONSIDERATION  OF  CERTAIN  RESOLUTIONS  REPORTED  BY  THE  RULES  COMMITTEE	house	hr060	109	PUTNAM	Committee on Rules	H. Res. 242
64	OCCUPATIONAL  SAFETY  AND  HEALTH  SMALL  EMPLOYER  ACCESS  TO  JUSTICE  ACT  OF  2005	house	hr061p1	109	BOEHNER	Committee on Education and the Workforce	H.R. 742
65	OCCUPATIONAL  SAFETY  AND  HEALTH  SMALL  EMPLOYER  ACCESS  TO  JUSTICE  ACT  OF  2005	house	hr061p2	109	SENSENBRENNER	Committee on the Judiciary	H.R. 742
66	CONCURRENT  RESOLUTION  ON  THE  BUDGET  FOR  FISCAL  YEAR  2006	house	hr062	109	NUSSLE	committee on conference	H. Con. Res. 95
67	WAIVING  POINTS  OF  ORDER  AGAINST  THE  CONFERENCE  REPORT  TO  ACCOMPANY  H.  CON.  RES.  95,  THE  CONCURRENT  RESOLUTION  ON  THE  BUDGET  FOR  FISCAL  YEAR  2006	house	hr063	109	PUTNAM	Committee on Rules	H. Res. 248
68	TECHNICAL  CORRECTIONS  TO  TITLE  17,  UNITED  STATES  CODE,  RELATING  TO  COPYRIGHT  ROYALTY  JUDGES	house	hr064	109	SENSENBRENNER	Committee on the Judiciary	H.R. 1036
69	FASTER  AND  SMARTER  FUNDING  FOR  FIRST  RESPONDERS  ACT  OF  2005	house	hr065	109	COX	Committee on Homeland Security	H.R. 1544
70	POSTAL  ACCOUNTABILITY  AND  ENHANCEMENT  ACT	house	hr066p1	109	TOM DAVIS of Virginia	Committee on Government Reform	H.R. 22
71	FEDERAL  DEPOSIT  INSURANCE  REFORM  ACT  OF  2005	house	hr067	109	OXLEY	Committee on Financial Services	H.R. 1185
